Age,Year,Male Population,Female Population
0,1900,4619544.0,4589196.0
0,2000,9735380.0,9310714.0
5,1900,4465783.0,4390483.0
5,2000,10552146.0,10069564.0
10,1900,4057669.0,4001749.0
10,2000,10563233.0,10022524.0
15,1900,3774846.0,3801743.0
15,2000,10237419.0,9692669.0
20,1900,3694038.0,3751061.0
20,2000,9731315.0,9324244.0
25,1900,3389280.0,3236056.0
25,2000,9659493.0,9518507.0
30,1900,2918964.0,2665174.0
30,2000,10205879.0,10119296.0
35,1900,2633883.0,2347737.0
35,2000,11475182.0,11635647.0
40,1900,2261070.0,2004987.0
40,2000,11320252.0,11488578.0
45,1900,1868413.0,1648025.0
45,2000,9925006.0,10261253.0
50,1900,1571038.0,1411981.0
50,2000,8507934.0,8911133.0
55,1900,1161908.0,1064632.0
55,2000,6459082.0,6921268.0
60,1900,916571.0,887508.0
60,2000,5123399.0,5668961.0
65,1900,672663.0,640212.0
65,2000,4453623.0,4804784.0
70,1900,454747.0,440007.0
70,2000,3792145.0,5184855.0
75,1900,268211.0,265879.0
75,2000,2912655.0,4355644.0
80,1900,127435.0,132449.0
80,2000,1902638.0,3221898.0
85,1900,44008.0,48614.0
85,2000,970357.0,1981156.0
90,1900,15164.0,20093.0
90,2000,336303.0,1064581.0
